company_age_years,founder_count,employees_size_numeric,employee_size_category,total_funding_usd,funding_rounds,funding_per_round,investor_count,primary_industry,label
10,4,0.0,Unknown,190000000.0,8,23750000.0,1,ECOMMERCE,1
14,2,0.0,Unknown,2000000.0,10,200000.0,1,SAAS,1
5,2,0.0,Unknown,60000000000.0,5,12000000000.0,1,ECOMMERCE,-1
12,2,0.0,Unknown,2000000.0,4,500000.0,1,Media,-1
8,0,0.0,Unknown,0.0,2,0.0,1,FINTECH,0
14,0,0.0,Enterprise,250000000000.0,2,125000000000.0,1,Testing,1
17,0,0.0,Enterprise,70000000.0,3,23333333.33333333,1,201-500 employees,-1
5,0,0.0,Medium,45000000000.0,14,3214285714.285714,1,FINTECH,1
14,0,0.0,Enterprise,0.0,7,0.0,1,Accounting,1
0,0,0.0,Enterprise,0.0,9,0.0,1,Unknown,-1
13,0,0.0,Large,30000000.0,11,2727272.727272727,1,Jewelry,1
0,0,0.0,Enterprise,38000000.0,3,12666666.666666666,1,APPS,-1
10,3,0.0,Enterprise,445920356.0,12,37160029.66666666,5,ECOMMERCE,1
6,5,0.0,Medium,89506451.0,10,8950645.1,5,EDTECH,-1
14,2,0.0,Large,32448851.0,4,8112212.75,4,FINTECH,1
5,1,0.0,Medium,93450000.0,4,23362500.0,5,Employment,-1
10,2,0.0,Enterprise,366600000.0,7,52371428.571428575,5,FINTECH,1
9,4,0.0,Enterprise,176283446.0,4,44070861.5,4,EDTECH,1
13,5,0.0,Enterprise,1236569361.0,11,112415396.45454544,5,LOGISTICS,1
9,5,0.0,Small,204600209.0,16,12787513.0625,5,HEALTHCARE,1
13,5,0.0,Enterprise,1119863468.0,17,65874321.64705882,5,ECOMMERCE,1
8,5,0.0,Large,59849371.0,8,7481171.375,5,Automotive,-1
9,4,0.0,Large,398500000.0,11,36227272.72727273,5,EDTECH,1
14,2,0.0,Enterprise,3808672049.0,25,152346881.96,5,APPS,1
9,2,0.0,Enterprise,158589644.0,7,22655663.42857143,5,LOGISTICS,1
6,1,0.0,Large,471205550.0,6,78534258.33333333,5,FINTECH,-1
5,3,0.0,Medium,37100000.0,5,7420000.0,5,Consumer Goods,-1
26,2,0.0,Enterprise,423238799.0,8,52904849.875,5,FINTECH,1
29,1,0.0,Large,71276176.0,3,23758725.33333333,5,FOODTECH,-1
7,4,0.0,Large,142262674.0,6,23710445.666666668,5,FINTECH,-1
11,2,0.0,Enterprise,662398135.0,13,50953702.692307696,5,ECOMMERCE,1
9,2,0.0,Medium,55345400.0,8,6918175.0,5,ECOMMERCE,1
8,2,0.0,Large,53665909.0,8,6708238.625,5,FINTECH,-1
17,5,0.0,Large,320600000.0,7,45800000.0,5,APPS,1
9,4,0.0,Enterprise,128399438.0,15,8559962.533333333,5,APPS,1
13,2,0.0,Enterprise,2745964432.0,18,152553579.55555555,5,EDTECH,1
9,2,0.0,Large,40920000.0,4,10230000.0,5,FINTECH,-1
24,1,0.0,Enterprise,67132379.0,5,13426475.8,5,HEALTHCARE,1
7,1,0.0,Small,32324325.0,4,8081081.25,5,FINTECH,-1
11,2,0.0,Medium,150417120.0,11,13674283.636363637,5,FINTECH,1
9,4,0.0,Enterprise,393848044.0,5,78769608.8,5,ECOMMERCE,1
28,2,0.0,Large,14100000.0,3,4700000.0,3,Biotechnology,-1
8,2,0.0,Small,7419353.0,2,3709676.5,2,EDTECH,0
9,3,0.0,Enterprise,121996807.0,9,13555200.777777778,5,APPS,1
14,1,0.0,Enterprise,24767620475.0,16,1547976279.6875,5,APPS,1
16,1,0.0,Medium,8469522.0,3,2823174.0,5,Information Technology,-1
5,2,0.0,Small,8736466.0,2,4368233.0,5,FINTECH,0
16,2,0.0,Enterprise,228246376.0,7,32606625.14285714,5,HEALTHCARE,1
9,1,0.0,Small,49200000.0,3,16400000.0,5,FINTECH,-1
18,1,0.0,Enterprise,6419310306.0,6,1069885051.0,5,ECOMMERCE,1
