company_age_years,founder_count,employees_size_numeric,employee_size_category,total_funding_usd,funding_rounds,funding_per_round,investor_count,primary_industry
8,2,,Small,4074000.0,6,679000.0,5,Automotive
5,3,,Small,6000000.0,1,6000000.0,5,DIY
8,2,,Medium,28438340.0,5,5687668.0,5,EDTECH
15,3,,Large,90000000.0,1,90000000.0,1,APPS
7,5,,Medium,107701572.0,4,26925393.0,3,FINTECH
9,2,,Enterprise,27575748.0,5,5515149.6,5,HEALTHCARE
12,1,,Large,68955715.0,16,4309732.1875,5,Consumer
10,3,,Enterprise,2428380000.0,14,173455714.2857143,5,LOGISTICS
9,4,,Seed,17696569.0,6,2949428.1666666665,5,Consumer Goods
9,3,,Large,69174397.0,9,7686044.111111111,5,Hospitality
8,2,,Small,4600000.0,3,1533333.3333333333,5,Artificial Intelligence
17,5,,Medium,131591747.0,7,18798821.0,5,APPS
13,1,,Large,37237275.0,3,12412425.0,2,APPS
9,3,,Medium,35826551.0,5,7165310.2,5,FINTECH
11,5,,Enterprise,76066894.0,6,12677815.666666666,5,HEALTHCARE
8,1,,Medium,75000000.0,3,25000000.0,5,FINTECH
10,2,,Enterprise,73000000.0,6,12166666.666666666,5,Market Research
12,3,,Medium,25000000.0,7,3571428.5714285714,5,HEALTHCARE
7,1,,Small,2225000.0,2,1112500.0,5,SAAS
8,3,,Medium,6361203.0,3,2120401.0,5,ECOMMERCE
10,2,,Medium,100000000.0,2,50000000.0,4,EDTECH
13,1,,Medium,2776179257.0,12,231348271.41666666,5,Clean Energy
12,1,,Large,261000000.0,5,52200000.0,5,APPS
10,2,,Medium,22523899.0,3,7507966.333333333,4,HEALTHCARE
13,1,,Enterprise,97467607.0,9,10829734.111111112,5,FINTECH
6,4,,Medium,3450000.0,6,575000.0,5,EDTECH
4,1,,Seed,545000.0,2,272500.0,5,FINTECH
14,1,,Large,99000000.0,3,33000000.0,4,HEALTHCARE
7,1,,Medium,4923799.0,3,1641266.3333333333,3,Gaming
24,1,,Enterprise,4432652051.0,13,340973234.6923077,5,FINTECH
25,3,,Large,224500000.0,6,37416666.666666664,5,Digital Entertainment
12,1,,Medium,196656376.0,4,49164094.0,4,EDTECH
8,3,,Large,5463025.0,5,1092605.0,5,EDTECH
18,3,,Medium,35500000.0,5,7100000.0,5,APPS
9,2,,Large,122313023.0,13,9408694.076923076,5,SAAS
14,2,,Enterprise,46221395.0,9,5135710.555555556,6,FOODTECH
7,2,,Medium,41443027.0,5,8288605.4,5,FINTECH
10,1,,Medium,45000000.0,3,15000000.0,2,SAAS
7,5,,Medium,31300000.0,4,7825000.0,5,ECOMMERCE
10,4,,Large,63359735.0,9,7039970.555555556,5,Home Decor
16,3,,Large,37996690.0,5,7599338.0,5,LOGISTICS
9,3,,Small,24628092.0,8,3078511.5,5,LOGISTICS
7,2,,Small,3500000.0,1,3500000.0,0,EDTECH
10,3,,Large,51443326.0,14,3674523.285714286,5,E-Commerce
23,1,,Enterprise,742000000.0,1,742000000.0,2,FINTECH
13,2,,Large,69002120.0,8,8625265.0,5,E-Commerce
17,2,,Large,434009213.0,20,21700460.65,5,Content
7,2,,Small,5500000.0,3,1833333.3333333333,5,FINTECH
9,2,,Large,44247827.0,9,4916425.222222222,5,LOGISTICS
16,3,,Enterprise,115000000.0,6,19166666.666666668,5,FINTECH
12,2,,Large,21556985.0,7,3079569.285714286,5,FINTECH
40,1,,Enterprise,456059601.0,7,65151371.571428575,5,FINTECH
10,2,,Medium,17612830.0,3,5870943.333333333,5,SAAS
9,2,,Medium,26700000.0,3,8900000.0,5,FINTECH
6,2,,Medium,621291.0,2,310645.5,5,FOODTECH
13,3,,Enterprise,257002291.0,11,23363844.636363637,5,ECOMMERCE
6,2,,Medium,7000000.0,1,7000000.0,1,HEALTHCARE
10,1,,Large,133000000.0,7,19000000.0,5,ECOMMERCE
12,2,,Enterprise,32668662.0,9,3629851.3333333335,5,LOGISTICS
11,2,,Medium,14550000.0,4,3637500.0,3,ECOMMERCE
14,1,,Medium,32599576.0,10,3259957.6,5,EDTECH
5,1,,Small,26000000.0,2,13000000.0,5,FINTECH
9,2,,Medium,56417592.0,4,14104398.0,5,B2B
12,3,,Medium,32697880.0,5,6539576.0,5,Internet
9,2,,Medium,7420000.0,3,2473333.3333333335,3,SAAS
8,4,,Medium,7000000.0,1,7000000.0,1,SAAS
5,2,,Medium,17062939.0,5,3412587.8,5,APPS
7,1,,Seed,110000000.0,1,110000000.0,3,E-Commerce
6,6,,Medium,56891230.0,3,18963743.333333332,4,FINTECH
9,3,,Medium,7697983.0,4,1924495.75,5,EDTECH
9,2,,Large,49247312.0,6,8207885.333333333,5,FINTECH
11,2,,Large,119000000.0,6,19833333.333333332,5,HEALTHCARE
9,2,,Medium,48598636.0,7,6942662.285714285,5,E-Commerce
7,4,,Small,21262496.0,7,3037499.4285714286,5,SAAS
9,3,,Large,10020000.0,5,2004000.0,2,EDTECH
14,2,,Large,177639874.0,7,25377124.85714286,5,Coupons
